x,y,z
-1.998289525508880615e-01,2.616944694519042969e+01,1.443693637847900391e+00
-1.427900940179824829e-01,2.617980384826660156e+01,1.444244503974914551e+00
-8.573967963457107544e-02,2.620002365112304688e+01,1.445346117019653320e+00
-5.403235554695129395e-01,2.606637954711914062e+01,1.408561348915100098e+00
-4.854910373687744141e-01,2.617731666564941406e+01,1.414495468139648438e+00
-4.252756834030151367e-01,2.598861503601074219e+01,1.404245495796203613e+00
-3.685763478279113770e-01,2.598948097229003906e+01,1.404245495796203613e+00
-3.141517341136932373e-01,2.617993354797363281e+01,1.414495468139648438e+00
-2.570352554321289062e-01,2.618055725097656250e+01,1.414495468139648438e+00
-1.996126025915145874e-01,2.614111518859863281e+01,1.412337660789489746e+00
-1.421454101800918579e-01,2.606160545349121094e+01,1.408021807670593262e+00
-3.132122457027435303e-01,2.610164070129394531e+01,1.380519628524780273e+00
-2.559724748134613037e-01,2.607230567932128906e+01,1.378935337066650391e+00
